Ref ID,Date,ppm,Rep,Plate,Row,Column,Total,Dead,Alive,Media,Notes,% Mortality,
38N,08/04/21,1.28,1,1,1,1,8,8,0,LM (T),,100.00%,
38N,08/04/21,0.64,1,1,1,2,4,4,0,LM (T),Low worm count. ,100.00%,
38N,08/04/21,0.32,1,1,1,3,13,13,0,LM (T),,100.00%,
38N,08/04/21,0.16,1,1,1,4,12,12,0,LM (T),,100.00%,
38N,08/04/21,0.08,1,1,1,5,1,1,0,LM (T),Low worm count. ,100.00%,
38N,08/04/21,0.04,1,1,1,6,12,4,8,LM (T),,33.00%,
38N,08/04/21,0.02,1,1,1,7,9,2,7,LM (T),,22.00%,
38N,08/04/21,0.01,1,1,1,8,10,0,10,LM (T),,0.00%,
38N,08/04/21,0.005,1,1,1,9,12,1,11,LM (T),,8.00%,
38N,08/04/21,0.0025,1,1,1,10,14,4,10,LM (T),,29.00%,
VC,08/04/21,0,1,1,1,12,14,1,13,LM (T),,7.00%,
59G,08/04/21,16,1,1,2,1,8,5,3,LM (T),,62.00%,
59G,08/04/21,8,1,1,2,2,8,2,6,LM (T),,25.00%,
59G,08/04/21,4,1,1,2,3,18,7,11,LM (T),,39.00%,
59G,08/04/21,2,1,1,2,4,18,4,14,LM (T),,22.00%,
59G,08/04/21,1,1,1,2,5,20,3,17,LM (T),,15.00%,
59G,08/04/21,0.5,1,1,2,6,16,4,12,LM (T),,25.00%,
59G,08/04/21,0.25,1,1,2,7,7,0,7,LM (T),,0.00%,
59G,08/04/21,0.125,1,1,2,8,12,3,9,LM (T),,25.00%,
59G,08/04/21,0.0625,1,1,2,9,13,3,10,LM (T),,23.00%,
59G,08/04/21,0.03125,1,1,2,10,16,4,12,LM (T),,25.00%,
VC,08/04/21,0,1,1,2,12,11,2,9,LM (T),3 eggs, 8 artifacts,18.00%
35H,08/04/21,1.28,1,1,3,1,13,1,12,LM (T),,8.00%,
35H,08/04/21,0.64,1,1,3,2,15,3,12,LM (T),,20.00%,
