Ref ID,Date,ppm,Rep,Plate,Row,Column,Total,Dead,Alive,Media,Notes,% Mortality
96A,09/23/2021,8.0,1,1,1,1,8,7,1,LM (T),,87%
96A,09/23/2021,4.0,1,1,1,2,8,7,1,LM (T),,87%
96A,09/23/2021,2.0,1,1,1,3,6,6,0,LM (T),,100%
96A,09/23/2021,1.0,1,1,1,4,5,5,0,LM (T),,100%
96A,09/23/2021,0.5,1,1,1,5,8,6,2,LM (T),,75%
96A,09/23/2021,0.25,1,1,1,6,10,2,8,LM (T),,20%
96A,09/23/2021,0.125,1,1,1,7,13,1,12,LM (T),,8%
96A,09/23/2021,0.0625,1,1,1,8,10,0,10,LM (T),,0%
96A,09/23/2021,0.03125,1,1,1,9,11,3,8,LM (T),,27%
96A,09/23/2021,0.015625,1,1,1,10,8,0,8,LM (T),,0%
VC,09/23/2021,0,1,1,1,12,5,0,5,LM (T),,0%
96D,09/23/2021,8.0,1,1,2,1,3,3,0,LM (T),Low worm count. ,100%
96D,09/23/2021,4.0,1,1,2,2,10,10,0,LM (T),,100%
96D,09/23/2021,2.0,1,1,2,3,10,10,0,LM (T),,100%
96D,09/23/2021,1.0,1,1,2,4,6,6,0,LM (T),,100%
96D,09/23/2021,0.5,1,1,2,5,7,5,2,LM (T),,71%
96D,09/23/2021,0.25,1,1,2,6,9,6,3,LM (T),,67%
96D,09/23/2021,0.125,1,1,2,7,18,2,16,LM (T),,11%
96D,09/23/2021,0.0625,1,1,2,8,10,0,10,LM (T),,0%
96D,09/23/2021,0.03125,1,1,2,9,3,1,2,LM (T),Low worm count. ,33%
96D,09/23/2021,0.015625,1,1,2,10,5,0,5,LM (T),,0%
VC,09/23/2021,0,1,1,2,12,8,2,6,LM (T),High control mortality. ,25%
96G,09/23/2021,4.0,1,1,3,1,5,5,0,LM (T),,100%
96G,09/23/2021,2.0,1,1,3,2,7,7,0,LM (T),,100%
96G,09/23/2021,1.0,1,1,3,3,15,10,5,LM (T),,67%
96G,09/23/2021,0.5,1,1,3,4,11,6,5,LM (T),,55%
96G,09/23/2021,0.25,1,1,3,5,9,0,9,LM (T),,0%
96G,09/23/2021,0.125,1,1,3,6,10,2,8,LM (T),,20%
96G,09/23/2021,0.0625,1,1,3,7,8,2,6,LM (T),,25%
96G,09/23/2021,0.03125,1,1,3,8,6,1,5,LM (T),,17%
96G,09/23/2021,0.015625,1,1,3,9,11,2,9,LM (T),,18%
96G,09/23/2021,0.0078125,1,1,3,10,4,1,3,LM (T),Low worm count. ,25%
VC,09/23/2021,0,1,1,3,12,7,1,6,LM (T),,14%
96K,09/23/2021,8.0,1,1,4,1,12,12,0,LM (T),,100%
96K,09/23/2021,4.0,1,1,4,2,9,7,2,LM (T),,78%
96K,09/23/2021,2.0,1,1,4,3,5,3,2,LM (T),,60%
96K,09/23/2021,1.0,1,1,4,4,5,2,3,LM (T),,40%
96K,09/23/2021,0.5,1,1,4,5,7,0,7,LM (T),,0%
96K,09/23/2021,0.25,1,1,4,6,10,2,8,LM (T),,20%
96K,09/23/2021,0.125,1,1,4,7,13,2,11,LM (T),,15%
96K,09/23/2021,0.0625,1,1,4,8,9,0,9,LM (T),,0%
96K,09/23/2021,0.03125,1,1,4,9,9,1,8,LM (T),,11%
96K,09/23/2021,0.015625,1,1,4,10,11,0,11,LM (T),,0%
VC,09/23/2021,0,1,1,4,12,13,1,12,LM (T),,8%
96N,09/23/2021,4.0,1,1,5,1,8,6,2,LM (T),,75%
96N,09/23/2021,2.0,1,1,5,2,10,7,3,LM (T),,70%
96N,09/23/2021,1.0,1,1,5,3,9,6,3,LM (T),,67%
96N,09/23/2021,0.5,1,1,5,4,9,6,3,LM (T),,67%
96N,09/23/2021,0.25,1,1,5,5,7,6,1,LM (T),,86%
96N,09/23/2021,0.125,1,1,5,6,6,0,6,LM (T),,0%
96N,09/23/2021,0.0625,1,1,5,7,13,6,7,LM (T),,46%
96N,09/23/2021,0.03125,1,1,5,8,4,1,3,LM (T),Low worm count. ,25%
96N,09/23/2021,0.015625,1,1,5,9,4,1,3,LM (T),Low worm count. ,25%
96N,09/23/2021,0.0078125,1,1,5,10,10,0,10,LM (T),,0%
VC,09/23/2021,0,1,1,5,12,14,2,12,LM (T),,14%
96R,09/23/2021,4.0,1,1,6,1,12,11,1,LM (T),,92%
96R,09/23/2021,2.0,1,1,6,2,14,12,2,LM (T),,86%
96R,09/23/2021,1.0,1,1,6,3,8,6,2,LM (T),,75%
96R,09/23/2021,0.5,1,1,6,4,11,6,5,LM (T),,55%
96R,09/23/2021,0.25,1,1,6,5,10,6,4,LM (T),,60%
96R,09/23/2021,0.125,1,1,6,6,11,4,7,LM (T),,36%
96R,09/23/2021,0.0625,1,1,6,7,10,2,8,LM (T),,20%
96R,09/23/2021,0.03125,1,1,6,8,8,2,6,LM (T),,25%
96R,09/23/2021,0.015625,1,1,6,9,5,0,5,LM (T),,0%
96R,09/23/2021,0.0078125,1,1,6,10,6,0,6,LM (T),,0%
VC,09/23/2021,0,1,1,6,12,5,1,4,LM (T),,20%
96U,09/23/2021,8.0,1,1,7,1,11,10,1,LM (T),,91%
96U,09/23/2021,4.0,1,1,7,2,10,6,4,LM (T),,60%
96U,09/23/2021,2.0,1,1,7,3,10,6,4,LM (T),,60%
96U,09/23/2021,1.0,1,1,7,4,10,9,1,LM (T),,90%
96U,09/23/2021,0.5,1,1,7,5,10,6,4,LM (T),,60%
96U,09/23/2021,0.25,1,1,7,6,8,4,4,LM (T),,50%
96U,09/23/2021,0.125,1,1,7,7,8,1,7,LM (T),,12%
96U,09/23/2021,0.0625,1,1,7,8,7,2,5,LM (T),,29%
96U,09/23/2021,0.03125,1,1,7,9,5,0,5,LM (T),,0%
96U,09/23/2021,0.015625,1,1,7,10,12,2,10,LM (T),,17%
VC,09/23/2021,0,1,1,7,12,11,1,10,LM (T),,9%
96X,09/23/2021,64.0,1,1,8,1,10,3,7,LM (T),,30%
96X,09/23/2021,32.0,1,1,8,2,10,2,8,LM (T),,20%
96X,09/23/2021,16.0,1,1,8,3,6,2,4,LM (T),,33%
96X,09/23/2021,8.0,1,1,8,4,9,3,6,LM (T),,33%
96X,09/23/2021,4.0,1,1,8,5,9,2,7,LM (T),,22%
96X,09/23/2021,2.0,1,1,8,6,8,2,6,LM (T),,25%
96X,09/23/2021,1.0,1,1,8,7,7,2,5,LM (T),,29%
96X,09/23/2021,0.5,1,1,8,8,12,0,12,LM (T),,0%
96X,09/23/2021,0.25,1,1,8,9,6,0,6,LM (T),,0%
96X,09/23/2021,0.125,1,1,8,10,6,1,5,LM (T),,17%
VC,09/23/2021,0,1,1,8,12,11,1,10,LM (T),,9%
