Ref ID,Compound,Date,ppm,Rep,Plate,Row,Column,Media,Object ID,Bounding Box,Class,Class Name,Score
96A,,09/24/2021,8.0,1,3,1,1,LM (T),1,"[749, 290, 784, 374]",2,dead,0.9692
96A,,09/24/2021,8.0,1,3,1,1,LM (T),2,"[724, 498, 773, 582]",1,alive,0.8230
96A,,09/24/2021,8.0,1,3,1,1,LM (T),3,"[501, 45, 566, 87]",2,dead,0.7838
96A,,09/24/2021,8.0,1,3,1,1,LM (T),4,"[236, 31, 321, 89]",2,dead,0.7808
96A,,09/24/2021,8.0,1,3,1,1,LM (T),5,"[337, 13, 409, 85]",6,aged_dead,0.7743
96A,,09/24/2021,8.0,1,3,1,1,LM (T),6,"[416, 45, 451, 119]",3,moribund,0.7720
96A,,09/24/2021,8.0,1,3,1,1,LM (T),7,"[25, 246, 72, 332]",2,dead,0.7136
96A,,09/24/2021,8.0,1,3,1,1,LM (T),8,"[11, 349, 74, 425]",2,dead,0.6419
96A,,09/24/2021,4.0,1,3,1,2,LM (T),1,"[377, 418, 433, 485]",6,aged_dead,0.9947
96A,,09/24/2021,4.0,1,3,1,2,LM (T),2,"[411, 704, 438, 738]",7,artifact,0.9920
96A,,09/24/2021,4.0,1,3,1,2,LM (T),3,"[234, 137, 297, 199]",3,moribund,0.9900
96A,,09/24/2021,4.0,1,3,1,2,LM (T),4,"[229, 43, 284, 87]",2,dead,0.9838
96A,,09/24/2021,4.0,1,3,1,2,LM (T),5,"[561, 561, 608, 676]",1,alive,0.9397
96A,,09/24/2021,4.0,1,3,1,2,LM (T),6,"[138, 573, 207, 623]",2,dead,0.9366
96A,,09/24/2021,4.0,1,3,1,2,LM (T),7,"[87, 618, 165, 699]",7,artifact,0.9347
96A,,09/24/2021,4.0,1,3,1,2,LM (T),8,"[708, 369, 768, 428]",1,alive,0.9273
96A,,09/24/2021,4.0,1,3,1,2,LM (T),9,"[167, 164, 220, 223]",7,artifact,0.6198
96A,,09/24/2021,2.0,1,3,1,3,LM (T),1,"[389, 537, 474, 667]",2,dead,0.9980
96A,,09/24/2021,2.0,1,3,1,3,LM (T),2,"[659, 597, 701, 661]",2,dead,0.9734
96A,,09/24/2021,2.0,1,3,1,3,LM (T),3,"[573, 685, 629, 717]",3,moribund,0.9645
96A,,09/24/2021,2.0,1,3,1,3,LM (T),4,"[460, 659, 493, 724]",2,dead,0.9626
96A,,09/24/2021,2.0,1,3,1,3,LM (T),5,"[514, 710, 598, 756]",2,dead,0.9201
96A,,09/24/2021,2.0,1,3,1,3,LM (T),6,"[630, 115, 682, 192]",3,moribund,0.8799
96A,,09/24/2021,2.0,1,3,1,3,LM (T),7,"[513, 669, 580, 737]",1,alive,0.6907
96A,,09/24/2021,2.0,1,3,1,3,LM (T),8,"[35, 234, 108, 309]",3,moribund,0.6686
96A,,09/24/2021,2.0,1,3,1,3,LM (T),9,"[543, 706, 601, 739]",2,dead,0.6135
96A,,09/24/2021,1.0,1,3,1,4,LM (T),1,"[251, 353, 323, 406]",4,egg,0.9998
96A,,09/24/2021,1.0,1,3,1,4,LM (T),2,"[49, 192, 91, 263]",6,aged_dead,0.9908
96A,,09/24/2021,1.0,1,3,1,4,LM (T),3,"[128, 90, 194, 156]",2,dead,0.9894
96A,,09/24/2021,1.0,1,3,1,4,LM (T),4,"[109, 134, 180, 183]",2,dead,0.9818
96A,,09/24/2021,1.0,1,3,1,4,LM (T),5,"[703, 417, 732, 457]",2,dead,0.9793
96A,,09/24/2021,1.0,1,3,1,4,LM (T),6,"[607, 591, 675, 630]",2,dead,0.9754
96A,,09/24/2021,1.0,1,3,1,4,LM (T),7,"[707, 420, 754, 496]",2,dead,0.9688
96A,,09/24/2021,1.0,1,3,1,4,LM (T),8,"[167, 417, 212, 455]",7,artifact,0.9527
96A,,09/24/2021,1.0,1,3,1,4,LM (T),9,"[502, 727, 541, 766]",2,dead,0.8955
96A,,09/24/2021,1.0,1,3,1,4,LM (T),10,"[720, 358, 786, 429]",2,dead,0.8140
96A,,09/24/2021,1.0,1,3,1,4,LM (T),11,"[65, 365, 104, 403]",1,alive,0.6101
